timeout,concurrency,delay,total_tasks,total_time,success_rate,tasks_per_second,avg_completion_latency,max_completion_latency,avg_embedding_latency,completion_success_rate,embedding_success_rate
16,15,0.8,27,20.109471,100.0,1.3426509329857559,6.1342039726398605,15.977663040161133,2.9571615943202265,100.0,100.0
1,15,0.8,27,2.019316,0.0,13.370864193618038,0.0,0.0,0.0,0.0,0.0
8,15,0.8,27,22.042344,12.962962962962962,1.224915099773418,6.229279899597168,7.786894083023071,3.658067464828491,18.51851851851852,7.4074074074074066
12,15,0.8,27,11.714442,50.0,2.3048472987445754,5.694367364048958,10.881383895874023,2.711811499162154,59.25925925925925,40.74074074074074
14,15,0.8,27,8.398456,33.33333333333333,3.2148766392298778,4.950697448518541,7.558700084686279,2.0480107996198864,33.33333333333333,33.33333333333333
15,15,0.8,27,8.777492,33.33333333333333,3.07604951391582,4.6810712814331055,7.939342260360718,2.660870631535848,33.33333333333333,33.33333333333333
16,15,0.8,27,9.633551,33.33333333333333,2.802704838537731,5.918923801845974,8.79516315460205,2.2779599030812583,33.33333333333333,33.33333333333333
16,15,0.8,27,9.367114,33.33333333333333,2.8824246187246145,5.133185678058201,8.52833104133606,2.843964550230238,33.33333333333333,33.33333333333333
